TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.6866
  Final Val Loss:       0.7177
  Final Train IoU:      0.4272
  Final Val IoU:        0.3633
  Final Train Dice:     0.5446
  Final Val Dice:       0.5160
  Final Train Accuracy: 0.7371
  Final Val Accuracy:   0.7291
==================================================

Best Results:
  Best Val IoU:      0.3682 (Epoch 44)
  Best Val Dice:     0.5223 (Epoch 44)
  Best Val Accuracy: 0.7299 (Epoch 48)
  Lowest Val Loss:   0.7144 (Epoch 48)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        0.9068       0.7991       0.3643       0.3123       0.4724       0.4542       0.7072       0.7090      
2        0.7833       0.7696       0.3825       0.3265       0.4954       0.4692       0.7140       0.7155      
3        0.7648       0.7576       0.3882       0.3340       0.5027       0.4792       0.7186       0.7189      
4        0.7531       0.7491       0.3981       0.3423       0.5147       0.4889       0.7209       0.7208      
5        0.7472       0.7499       0.4007       0.3449       0.5183       0.4933       0.7208       0.7200      
6        0.7404       0.7429       0.4016       0.3441       0.5194       0.4926       0.7227       0.7216      
7        0.7352       0.7375       0.4069       0.3501       0.5239       0.5003       0.7248       0.7233      
8        0.7310       0.7356       0.4016       0.3464       0.5171       0.4952       0.7255       0.7242      
9        0.7278       0.7359       0.4077       0.3515       0.5256       0.5026       0.7261       0.7237      
10       0.7246       0.7318       0.4078       0.3510       0.5244       0.5013       0.7273       0.7254      
11       0.7222       0.7289       0.4094       0.3533       0.5265       0.5026       0.7279       0.7256      
12       0.7202       0.7305       0.4077       0.3514       0.5244       0.5016       0.7277       0.7250      
13       0.7184       0.7266       0.4156       0.3574       0.5341       0.5091       0.7289       0.7261      
14       0.7174       0.7303       0.4002       0.3493       0.5165       0.4988       0.7285       0.7256      
15       0.7140       0.7240       0.4136       0.3593       0.5322       0.5114       0.7299       0.7273      
16       0.7123       0.7242       0.4150       0.3583       0.5330       0.5102       0.7305       0.7270      
17       0.7110       0.7236       0.4172       0.3600       0.5361       0.5124       0.7307       0.7271      
18       0.7100       0.7235       0.4149       0.3588       0.5339       0.5109       0.7306       0.7270      
19       0.7079       0.7207       0.4140       0.3583       0.5303       0.5094       0.7321       0.7281      
20       0.7072       0.7210       0.4152       0.3606       0.5344       0.5129       0.7319       0.7280      
21       0.7055       0.7203       0.4184       0.3618       0.5378       0.5143       0.7324       0.7281      
22       0.7040       0.7211       0.4172       0.3606       0.5347       0.5131       0.7323       0.7276      
23       0.7036       0.7190       0.4218       0.3650       0.5415       0.5184       0.7328       0.7281      
24       0.7018       0.7191       0.4154       0.3588       0.5321       0.5097       0.7330       0.7285      
25       0.7029       0.7176       0.4214       0.3635       0.5406       0.5162       0.7338       0.7288      
26       0.7015       0.7189       0.4239       0.3647       0.5436       0.5164       0.7336       0.7281      
27       0.6996       0.7171       0.4191       0.3615       0.5368       0.5134       0.7343       0.7292      
28       0.6991       0.7187       0.4183       0.3604       0.5359       0.5124       0.7342       0.7288      
29       0.6976       0.7183       0.4238       0.3641       0.5426       0.5171       0.7343       0.7287      
30       0.6976       0.7181       0.4236       0.3627       0.5424       0.5156       0.7345       0.7287      
31       0.6959       0.7180       0.4227       0.3631       0.5428       0.5162       0.7345       0.7284      
32       0.6951       0.7171       0.4256       0.3655       0.5454       0.5189       0.7348       0.7288      
33       0.6946       0.7165       0.4249       0.3651       0.5442       0.5181       0.7353       0.7289      
34       0.6935       0.7160       0.4250       0.3651       0.5439       0.5182       0.7353       0.7293      
35       0.6937       0.7171       0.4180       0.3593       0.5346       0.5094       0.7347       0.7291      
36       0.6930       0.7160       0.4250       0.3645       0.5441       0.5174       0.7358       0.7293      
37       0.6925       0.7171       0.4235       0.3620       0.5425       0.5136       0.7354       0.7284      
38       0.6918       0.7160       0.4255       0.3638       0.5448       0.5150       0.7363       0.7296      
39       0.6903       0.7151       0.4243       0.3638       0.5436       0.5154       0.7365       0.7296      
40       0.6904       0.7158       0.4237       0.3619       0.5422       0.5142       0.7361       0.7293      
41       0.6906       0.7160       0.4262       0.3654       0.5453       0.5175       0.7362       0.7293      
42       0.6895       0.7171       0.4232       0.3630       0.5419       0.5141       0.7357       0.7295      
43       0.6886       0.7194       0.4218       0.3623       0.5406       0.5154       0.7351       0.7282      
44       0.6889       0.7167       0.4285       0.3682       0.5481       0.5223       0.7366       0.7288      
45       0.6872       0.7164       0.4246       0.3653       0.5439       0.5172       0.7366       0.7293      
46       0.6865       0.7153       0.4253       0.3636       0.5430       0.5147       0.7368       0.7298      
47       0.6865       0.7146       0.4274       0.3667       0.5478       0.5181       0.7374       0.7297      
48       0.6884       0.7144       0.4275       0.3661       0.5476       0.5182       0.7378       0.7299      
49       0.6870       0.7148       0.4288       0.3666       0.5475       0.5200       0.7373       0.7297      
50       0.6866       0.7177       0.4272       0.3633       0.5446       0.5160       0.7371       0.7291      
